"","X","Authors","metric","subgroup","group","group_general","tissue","CN","EN","yi","vi","stats","Protocol","genotype_intervention","hormonal_intervention","colitis_intervention","dietary_intervention","control"
"851",851,"Song et al. 2021","Simpson","Control","control","control","fecal",8,8,2.7123829,0.179683741,"lnCVR","Song","no","no","no","no","control"
"852",852,"Song et al. 2021","Simpson","Nrf2KO","genotype (CRC-treatment)","genotype","fecal",8,8,-0.094483461,0.167662622,"lnCVR","Song","yes","no","no","no","treatment"
"853",853,"Song et al. 2022","Simpson","AOM/DSS","colitis and inflammatory intervention","colitis and inflammatory intervention","fecal",10,7,0.378087236,0.164984912,"lnCVR","Song","no","no","yes","no","treatment"
"854",854,"Song et al. 2022","Simpson","AOM/DSS_ steroid-injected","colitis and inflammatory intervention, hormonal intervention (prime male)","colitis and inflammatory intervention, hormonal intervention","fecal",8,4,0.706821961,0.320271102,"lnCVR","Song","no","yes","yes","no","treatment"
"855",855,"Song et al. 2022","Simpson","Control","control","control","fecal",4,4,-0.302797966,0.452155777,"lnCVR","Song","no","no","no","no","control"
"856",856,"Song et al. 2022","Simpson","orchiectomized","hormonal intervention (neutered male)","hormonal intervention","fecal",4,NA,NA,NA,"lnCVR","Song","no","yes","no","no","treatment"
"857",857,"Song et al. 2022","Simpson","orchiectomized_ AOM/DSS","colitis and inflammatory intervention, hormonal intervention (neutered male)","colitis and inflammatory intervention, hormonal intervention ","fecal",10,NA,NA,NA,"lnCVR","Song","no","yes","yes","no","treatment"
"858",858,"Song et al. 2022","Simpson","orchiectomized_ AOM/DSS_ steroid-injected","colitis and inflammatory intervention, hormonal intervention (mixed)","colitis and inflammatory intervention, hormonal intervention","fecal",6,NA,NA,NA,"lnCVR","Song","no","yes","yes","no","treatment"
"859",859,"Strickland et al. 2021","Simpson","Sigmodon_fulviventer_Ear_day0_Control","rats","rats","ear",4,3,-0.632600474,0.683070883,"lnCVR","Strickland","no","no","no","no","treatment"
"860",860,"Strickland et al. 2021","Simpson","Sigmodon_fulviventer_Ear_day28_Control","rats","rats","ear",10,3,0.780762721,0.610593847,"lnCVR","Strickland","no","no","no","no","treatment"
"861",861,"Strickland et al. 2021","Simpson","Sigmodon_fulviventer_Ear_day7_Control","rats","rats","ear",10,3,0.051854435,0.439442272,"lnCVR","Strickland","no","no","no","no","treatment"
"862",862,"Strickland et al. 2021","Simpson","Sigmodon_fulviventer_Ear_day95_Control","rats","rats","ear",10,NA,NA,NA,"lnCVR","Strickland","no","no","no","no","treatment"
"863",863,"Strickland et al. 2021","Simpson","Sigmodon_fulviventer_Fecal_day0_Control","rats","rats","fecal",20,3,-1.873637861,0.402756981,"lnCVR","Strickland","no","no","no","no","treatment"
"864",864,"Strickland et al. 2021","Simpson","Sigmodon_fulviventer_Fecal_day111_Control","rats","rats","fecal",10,NA,NA,NA,"lnCVR","Strickland","no","no","no","no","treatment"
"865",865,"Strickland et al. 2021","Simpson","Sigmodon_fulviventer_Fecal_day14_Control","rats","rats","fecal",10,3,-1.517380472,0.436866343,"lnCVR","Strickland","no","no","no","no","treatment"
"866",866,"Strickland et al. 2021","Simpson","Sigmodon_fulviventer_Fecal_day21_Control","rats","rats","fecal",10,3,-0.232705449,0.436743479,"lnCVR","Strickland","no","no","no","no","treatment"
"867",867,"Strickland et al. 2021","Simpson","Sigmodon_fulviventer_Fecal_day28_Control","rats","rats","fecal",10,3,-0.490266059,0.436736709,"lnCVR","Strickland","no","no","no","no","treatment"
"868",868,"Strickland et al. 2021","Simpson","Sigmodon_fulviventer_Fecal_day34_Control","rats","rats","fecal",10,NA,NA,NA,"lnCVR","Strickland","no","no","no","no","treatment"
"869",869,"Strickland et al. 2021","Simpson","Sigmodon_fulviventer_Fecal_day4_Control","rats","rats","fecal",10,NA,NA,NA,"lnCVR","Strickland","no","no","no","no","treatment"
"870",870,"Strickland et al. 2021","Simpson","Sigmodon_fulviventer_Fecal_day7_Control","rats","rats","fecal",10,3,-0.935460303,0.436879217,"lnCVR","Strickland","no","no","no","no","treatment"
"871",871,"Strickland et al. 2021","Simpson","Sigmodon_fulviventer_Nose_day0_Control","rats","rats","nose",5,3,0.468984369,0.876953125,"lnCVR","Strickland","no","no","no","no","treatment"
"872",872,"Strickland et al. 2021","Simpson","Sigmodon_fulviventer_Nose_day28_Control","rats","rats","nose",10,3,0.478661592,0.482750092,"lnCVR","Strickland","no","no","no","no","treatment"
"873",873,"Strickland et al. 2021","Simpson","Sigmodon_fulviventer_Nose_day7_Control","rats","rats","nose",10,3,1.410425061,0.44519974,"lnCVR","Strickland","no","no","no","no","treatment"
"874",874,"Strickland et al. 2021","Simpson","Sigmodon_fulviventer_Nose_day95_Control","rats","rats","nose",10,NA,NA,NA,"lnCVR","Strickland","no","no","no","no","treatment"
"875",875,"Strickland et al. 2021","Simpson","Sigmodon_fulviventer_Skin_day0_Control","rats","rats","skin",5,3,-0.543393142,0.628731909,"lnCVR","Strickland","no","no","no","no","treatment"
"876",876,"Strickland et al. 2021","Simpson","Sigmodon_fulviventer_Skin_day28_Control","rats","rats","skin",10,3,-0.474728348,0.44384863,"lnCVR","Strickland","no","no","no","no","treatment"
"877",877,"Strickland et al. 2021","Simpson","Sigmodon_fulviventer_Skin_day7_Control","rats","rats","skin",10,3,0.206597321,0.438284176,"lnCVR","Strickland","no","no","no","no","treatment"
"878",878,"Strickland et al. 2021","Simpson","Sigmodon_fulviventer_Skin_day95_Control","rats","rats","skin",9,NA,NA,NA,"lnCVR","Strickland","no","no","no","no","treatment"
"879",879,"Strickland et al. 2021","Simpson","Sigmodon_hispidus_Ear_day0_Control","rats","rats","ear",NA,9,NA,NA,"lnCVR","Strickland","no","no","no","no","treatment"
"880",880,"Strickland et al. 2021","Simpson","Sigmodon_hispidus_Ear_day28_Control","rats","rats","ear",5,9,1.746556197,0.236595082,"lnCVR","Strickland","no","no","no","no","treatment"
"881",881,"Strickland et al. 2021","Simpson","Sigmodon_hispidus_Ear_day7_Control","rats","rats","ear",5,9,-1.762951934,0.278753135,"lnCVR","Strickland","no","no","no","no","treatment"
"882",882,"Strickland et al. 2021","Simpson","Sigmodon_hispidus_Ear_day95_Control","rats","rats","ear",10,NA,NA,NA,"lnCVR","Strickland","no","no","no","no","treatment"
"883",883,"Strickland et al. 2021","Simpson","Sigmodon_hispidus_Fecal_day0_Control","rats","rats","fecal",15,9,1.566956828,0.109022618,"lnCVR","Strickland","no","no","no","no","treatment"
"884",884,"Strickland et al. 2021","Simpson","Sigmodon_hispidus_Fecal_day111_Control","rats","rats","fecal",10,NA,NA,NA,"lnCVR","Strickland","no","no","no","no","treatment"
"885",885,"Strickland et al. 2021","Simpson","Sigmodon_hispidus_Fecal_day14_Control","rats","rats","fecal",5,9,0.101983082,0.226596742,"lnCVR","Strickland","no","no","no","no","treatment"
"886",886,"Strickland et al. 2021","Simpson","Sigmodon_hispidus_Fecal_day21_Control","rats","rats","fecal",5,9,-0.184219172,0.226661325,"lnCVR","Strickland","no","no","no","no","treatment"
"887",887,"Strickland et al. 2021","Simpson","Sigmodon_hispidus_Fecal_day28_Control","rats","rats","fecal",5,9,1.048050289,0.226768278,"lnCVR","Strickland","no","no","no","no","treatment"
"888",888,"Strickland et al. 2021","Simpson","Sigmodon_hispidus_Fecal_day34_Control","rats","rats","fecal",9,NA,NA,NA,"lnCVR","Strickland","no","no","no","no","treatment"
"889",889,"Strickland et al. 2021","Simpson","Sigmodon_hispidus_Fecal_day4_Control","rats","rats","fecal",10,NA,NA,NA,"lnCVR","Strickland","no","no","no","no","treatment"
"890",890,"Strickland et al. 2021","Simpson","Sigmodon_hispidus_Fecal_day7_Control","rats","rats","fecal",5,9,0.277244496,0.226583503,"lnCVR","Strickland","no","no","no","no","treatment"
"891",891,"Strickland et al. 2021","Simpson","Sigmodon_hispidus_Nose_day0_Control","rats","rats","nose",NA,9,NA,NA,"lnCVR","Strickland","no","no","no","no","treatment"
"892",892,"Strickland et al. 2021","Simpson","Sigmodon_hispidus_Nose_day28_Control","rats","rats","nose",5,8,-0.93000313,0.244378277,"lnCVR","Strickland","no","no","no","no","treatment"
"893",893,"Strickland et al. 2021","Simpson","Sigmodon_hispidus_Nose_day7_Control","rats","rats","nose",5,9,0.477076613,0.275725096,"lnCVR","Strickland","no","no","no","no","treatment"
"894",894,"Strickland et al. 2021","Simpson","Sigmodon_hispidus_Nose_day95_Control","rats","rats","nose",10,NA,NA,NA,"lnCVR","Strickland","no","no","no","no","treatment"
"895",895,"Strickland et al. 2021","Simpson","Sigmodon_hispidus_Skin_day0_Control","rats","rats","skin",NA,9,NA,NA,"lnCVR","Strickland","no","no","no","no","treatment"
"896",896,"Strickland et al. 2021","Simpson","Sigmodon_hispidus_Skin_day28_Control","rats","rats","skin",5,9,-0.420434151,0.264216216,"lnCVR","Strickland","no","no","no","no","treatment"
"897",897,"Strickland et al. 2021","Simpson","Sigmodon_hispidus_Skin_day7_Control","rats","rats","skin",5,8,0.548427717,0.25144161,"lnCVR","Strickland","no","no","no","no","treatment"
"898",898,"Strickland et al. 2021","Simpson","Sigmodon_hispidus_Skin_day95_Control","rats","rats","skin",10,NA,NA,NA,"lnCVR","Strickland","no","no","no","no","treatment"
"899",899,"Sun et al. 2020","Simpson","Control","control","control","fecal",8,8,-0.035475264,0.163348409,"lnCVR","Sun","no","no","no","no","control"
"900",900,"Sun et al. 2020","Simpson","High fat","dietary intervention","dietary intervention","fecal",8,7,-0.172600025,0.178905956,"lnCVR","Sun","no","no","no","yes","treatment"
"901",901,"Sun et al. 2020","Simpson","Pomctm1/tm1","genotype (obesity)","genotype","fecal",8,8,-1.280863682,0.163688541,"lnCVR","Sun","yes","no","no","no","treatment"
"902",902,"Sun et al. 2020","Simpson","Pomctm1/tm1, High fat","dietary intervention, genotype (obesity)","dietary intervention, genotype","fecal",8,7,-1.083731517,0.179177767,"lnCVR","Sun","yes","no","no","yes","treatment"
"903",903,"Tam et al. 2020","Simpson","""Smoke exposed, ovariectomy""","smoke-exposed, hormonal intervention (neutered female)","smoke-exposed, hormonal intervention","cecal",NA,8,NA,NA,"lnCVR","Tam","no","yes","no","no","treatment"
"904",904,"Tam et al. 2020","Simpson","Control","control","control","cecal",10,10,-0.424812577,0.12376804,"lnCVR","Tam","no","no","no","no","control"
"905",905,"Tam et al. 2020","Simpson","Smoke exposed","smoke-exposed","smoke-exposed","cecal",10,10,-0.410530581,0.123696953,"lnCVR","Tam","no","no","no","no","treatment"
"906",906,"Tam et al. 2020","Simpson","ovariectomy","hormonal intervention (neutered female)","hormonal intervention","cecal",NA,10,NA,NA,"lnCVR","Tam","no","yes","no","no","treatment"
"907",907,"Tashiro et al. 2020","Simpson","Cellulose","dietary intervention (dietary fiber)","dietary intervention","fecal",8,8,-0.357659534,0.166457311,"lnCVR","Tashiro","no","no","no","yes","treatment"
"908",908,"Tashiro et al. 2020","Simpson","Control","control","control","fecal",8,8,0.379291541,0.177482585,"lnCVR","Tashiro","no","no","no","no","control"
"909",909,"Tashiro et al. 2020","Simpson","Fiberfree","dietary intervention (dietary fiber)","dietary intervention","fecal",8,8,1.004337297,0.164917416,"lnCVR","Tashiro","no","no","no","yes","treatment"
"910",910,"Tashiro et al. 2020","Simpson","Pectin","dietary intervention (dietary fiber)","dietary intervention","fecal",8,8,-0.613305919,0.17693489,"lnCVR","Tashiro","no","no","no","yes","treatment"
"911",911,"Velasco et al. 2021","Simpson","C57BL/6J","control","control","fecal",4,4,0.168659247,0.444951787,"lnCVR","Velasco","no","no","no","no","control"
"912",912,"Velasco et al. 2021","Simpson","MRL/MpJ","genotype (primed tissue regeneration abilities)","genotype","fecal",4,4,0.329188463,0.445072254,"lnCVR","Velasco","yes","no","no","no","treatment"
"913",913,"Weng et al. 2019","Simpson","APOE2_APP transgene +","genotype (neuroprotective against Alzheimer), AD transgenic ","genotype, AD transgenic ","fecal",6,11,-0.573361842,0.177235663,"lnCVR","Weng","yes","no","no","no","treatment"
"914",914,"Weng et al. 2019","Simpson","APOE2_APP transgene -","genotype (neuroprotective against Alzheimer)","genotype","fecal",16,18,0.0407405,0.066864964,"lnCVR","Weng","yes","no","no","no","treatment"
"915",915,"Weng et al. 2019","Simpson","APOE3_APP transgene +","genotype (neutral), AD transgenic ","genotype, AD transgenic ","fecal",13,21,-0.532531388,0.071528197,"lnCVR","Weng","yes","no","no","no","treatment"
"916",916,"Weng et al. 2019","Simpson","APOE3_APP transgene -","genotype (neutral)","genotype","fecal",20,15,0.540543449,0.067526247,"lnCVR","Weng","yes","no","no","no","treatment"
"917",917,"Weng et al. 2019","Simpson","APOE4_APP transgene +","genotype (prime Alzheimer), AD transgenic ","genotype, AD transgenic ","fecal",19,24,-0.012404418,0.052106193,"lnCVR","Weng","yes","no","no","no","treatment"
"918",918,"Weng et al. 2019","Simpson","APOE4_APP transgene -","genotype (prime Alzheimer)","genotype","fecal",32,24,0.36445904,0.039794386,"lnCVR","Weng","yes","no","no","no","treatment"
"919",919,"Wolfe et al. 2020","Simpson","Smad3-/-_CRC_SFB+_cecal","genotype (deficient immunity), colitis and inflammatory intervention, microbe intervention","genotype, colitis and inflammatory intervention, microbe intervention","cecal",1,7,NA,NA,"lnCVR","Wolfe","yes","no","yes","no","treatment"
"920",920,"Wolfe et al. 2020","Simpson","Smad3-/-_CRC_SFB+_fecal","genotype (deficient immunity), colitis and inflammatory intervention, microbe intervention","genotype, colitis and inflammatory intervention, microbe intervention","fecal",10,68,1.696665501,0.069760708,"lnCVR","Wolfe","yes","no","yes","no","treatment"
"921",921,"Wolfe et al. 2020","Simpson","Smad3-/-_CRC_SFB-_cecal","genotype (deficient immunity), colitis and inflammatory intervention","genotype, colitis and inflammatory intervention","cecal",2,7,2.405732481,1.101596814,"lnCVR","Wolfe","yes","no","yes","no","treatment"
"922",922,"Wolfe et al. 2020","Simpson","Smad3-/-_CRC_SFB-_fecal","genotype (deficient immunity), colitis and inflammatory intervention","genotype, colitis and inflammatory intervention","fecal",34,83,0.435274596,0.021987605,"lnCVR","Wolfe","yes","no","yes","no","treatment"
"923",923,"Wolfe et al. 2020","Simpson","Smad3-/-_healthy_SFB+_cecal","genotype (deficient immunity), microbe intervention","genotype, microbe intervention","cecal",15,5,0.038010302,0.194692959,"lnCVR","Wolfe","yes","no","no","no","treatment"
"924",924,"Wolfe et al. 2020","Simpson","Smad3-/-_healthy_SFB+_fecal","genotype (deficient immunity), microbe intervention","genotype, microbe intervention","fecal",156,49,0.923976838,0.014047986,"lnCVR","Wolfe","yes","no","no","no","treatment"
"925",925,"Wolfe et al. 2020","Simpson","Smad3-/-_healthy_SFB-_cecal","genotype (deficient immunity)","genotype","cecal",15,10,1.085206578,0.101780577,"lnCVR","Wolfe","yes","no","no","no","treatment"
"926",926,"Wolfe et al. 2020","Simpson","Smad3-/-_healthy_SFB-_fecal","genotype (deficient immunity)","genotype","fecal",158,135,0.638442543,0.007124703,"lnCVR","Wolfe","yes","no","no","no","treatment"
"927",927,"Zajac et al. 2022","Simpson","APOE2/E2_cecal","genotype (neuroprotective against Alzheimer)","genotype","cecal",5,6,-1.090195172,0.27629208,"lnCVR","Zajac","yes","no","no","no","treatment"
"928",928,"Zajac et al. 2022","Simpson","APOE2/E2_fecal","genotype (neuroprotective against Alzheimer)","genotype","fecal",15,21,-0.359678578,0.06460101,"lnCVR","Zajac","yes","no","no","no","treatment"
"929",929,"Zajac et al. 2022","Simpson","APOE2/E2_small bowel","genotype (neuroprotective against Alzheimer)","genotype","small bowel",2,3,-0.266749315,1.377978186,"lnCVR","Zajac","yes","no","no","no","treatment"
"930",930,"Zajac et al. 2022","Simpson","APOE2/E3_cecal","genotype (neuroprotective against Alzheimer to neutral)","genotype","cecal",7,10,0.872612182,0.158960652,"lnCVR","Zajac","yes","no","no","no","treatment"
"931",931,"Zajac et al. 2022","Simpson","APOE2/E3_fecal","genotype (neuroprotective against Alzheimer to neutral)","genotype","fecal",21,36,0.009129347,0.041003627,"lnCVR","Zajac","yes","no","no","no","treatment"
"932",932,"Zajac et al. 2022","Simpson","APOE2/E3_small bowel","genotype (neuroprotective against Alzheimer to neutral)","genotype","small bowel",1,NA,NA,NA,"lnCVR","Zajac","yes","no","no","no","treatment"
"933",933,"Zajac et al. 2022","Simpson","APOE2_fecal","genotype (neuroprotective against Alzheimer)","genotype","fecal",8,7,-1.324435195,0.178972474,"lnCVR","Zajac","yes","no","no","no","treatment"
"934",934,"Zajac et al. 2022","Simpson","APOE3/E3_cecal","genotype (neutral)","genotype","cecal",13,5,-0.743672864,0.201444508,"lnCVR","Zajac","yes","no","no","no","treatment"
"935",935,"Zajac et al. 2022","Simpson","APOE3/E3_fecal","genotype (neutral)","genotype","fecal",41,15,-0.188147806,0.051124619,"lnCVR","Zajac","yes","no","no","no","treatment"
"936",936,"Zajac et al. 2022","Simpson","APOE3/E3_small bowel","genotype (neutral)","genotype","small bowel",4,2,0.04557133,1.233014157,"lnCVR","Zajac","yes","no","no","no","treatment"
"937",937,"Zajac et al. 2022","Simpson","APOE3/E4_cecal","genotype (neutral to prime Alzheimer)","genotype","cecal",10,8,-0.836228032,0.143387197,"lnCVR","Zajac","yes","no","no","no","treatment"
